text,authority_impersonation,urgency,fear_or_threat,secrecy,isolation,payment_request,otp_request,credential_request,remote_access_request,screen_share_request,upi_collect_request,source
"Dear Customer, your electricity power connection will be permanently disconnected tonight at 9:30 PM due to unpaid previous month bill. Contact electricity verification officer at +91 00000 00000 or pay via demo_payment@invalid immediately. Case Study Ref #4011.",1,1,1,0,0,1,0,0,0,0,0,synthetic_reviewed
"Dear User, your netbanking password has expired. Click http://invalid.example/reset-password to enter your username, password, and the 6-digit OTP sent to your phone to reactivate your debit card. Case Study Ref #4012.",1,1,1,0,0,0,1,1,0,0,0,synthetic_reviewed
"Confidential VIP Trading Group: 500% guaranteed returns within 3 days. Do not share this private WhatsApp invite link with anyone outside. Deposit initial capital of Rs 10,000 to demo_payment@invalid today. Case Study Ref #4013.",0,1,0,1,1,1,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your account ending in 4492 has been credited with Rs 5,000 via NEFT. Available balance is Rs 12,400. Thank you for banking with Example Bank. Case Study Ref #4014.",0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
772184 is your OTP for transaction at Demo Store. Do not share OTP with anyone. Example Bank will never call asking for this OTP. Case Study Ref #4015.,0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
"This is Inspector Rao from Central Crime Branch. An FIR has been registered against you for money laundering. You are in immediate digital custody. Keep your webcam on, do not call your family or disconnected the call, and transfer Rs 50,000 security deposit to demo_payment@invalid immediately. Case Study Ref #4016.",1,1,1,1,1,1,0,0,0,0,1,synthetic_reviewed
Example Bank alert: Suspicious device logged in. Call +91 00000 00000 urgently and install RemoteAssistDemo app to verify your identity. Open the app and share the 9-digit screen code with our agent to prevent complete account freeze. Case Study Ref #4017.,1,1,1,0,0,0,0,0,1,1,0,synthetic_reviewed
"Congratulations! You won Rs 20,000 cashback from Example Bank rewards. To claim money into your bank account, approve the UPI collect request sent to your GooglePay/PhonePe and enter your secret UPI PIN. Case Study Ref #4018.",1,1,0,0,0,0,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your electricity power connection will be permanently disconnected tonight at 9:30 PM due to unpaid previous month bill. Contact electricity verification officer at +91 00000 00000 or pay via demo_payment@invalid immediately. Case Study Ref #4019.",1,1,1,0,0,1,0,0,0,0,0,synthetic_reviewed
"Dear User, your netbanking password has expired. Click http://invalid.example/reset-password to enter your username, password, and the 6-digit OTP sent to your phone to reactivate your debit card. Case Study Ref #4020.",1,1,1,0,0,0,1,1,0,0,0,synthetic_reviewed
"Confidential VIP Trading Group: 500% guaranteed returns within 3 days. Do not share this private WhatsApp invite link with anyone outside. Deposit initial capital of Rs 10,000 to demo_payment@invalid today. Case Study Ref #4021.",0,1,0,1,1,1,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your account ending in 4492 has been credited with Rs 5,000 via NEFT. Available balance is Rs 12,400. Thank you for banking with Example Bank. Case Study Ref #4022.",0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
772184 is your OTP for transaction at Demo Store. Do not share OTP with anyone. Example Bank will never call asking for this OTP. Case Study Ref #4023.,0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
"This is Inspector Rao from Central Crime Branch. An FIR has been registered against you for money laundering. You are in immediate digital custody. Keep your webcam on, do not call your family or disconnected the call, and transfer Rs 50,000 security deposit to demo_payment@invalid immediately. Case Study Ref #4024.",1,1,1,1,1,1,0,0,0,0,1,synthetic_reviewed
Example Bank alert: Suspicious device logged in. Call +91 00000 00000 urgently and install RemoteAssistDemo app to verify your identity. Open the app and share the 9-digit screen code with our agent to prevent complete account freeze. Case Study Ref #4025.,1,1,1,0,0,0,0,0,1,1,0,synthetic_reviewed
"Congratulations! You won Rs 20,000 cashback from Example Bank rewards. To claim money into your bank account, approve the UPI collect request sent to your GooglePay/PhonePe and enter your secret UPI PIN. Case Study Ref #4026.",1,1,0,0,0,0,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your electricity power connection will be permanently disconnected tonight at 9:30 PM due to unpaid previous month bill. Contact electricity verification officer at +91 00000 00000 or pay via demo_payment@invalid immediately. Case Study Ref #4027.",1,1,1,0,0,1,0,0,0,0,0,synthetic_reviewed
"Dear User, your netbanking password has expired. Click http://invalid.example/reset-password to enter your username, password, and the 6-digit OTP sent to your phone to reactivate your debit card. Case Study Ref #4028.",1,1,1,0,0,0,1,1,0,0,0,synthetic_reviewed
"Confidential VIP Trading Group: 500% guaranteed returns within 3 days. Do not share this private WhatsApp invite link with anyone outside. Deposit initial capital of Rs 10,000 to demo_payment@invalid today. Case Study Ref #4029.",0,1,0,1,1,1,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your account ending in 4492 has been credited with Rs 5,000 via NEFT. Available balance is Rs 12,400. Thank you for banking with Example Bank. Case Study Ref #4030.",0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
772184 is your OTP for transaction at Demo Store. Do not share OTP with anyone. Example Bank will never call asking for this OTP. Case Study Ref #4031.,0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
"This is Inspector Rao from Central Crime Branch. An FIR has been registered against you for money laundering. You are in immediate digital custody. Keep your webcam on, do not call your family or disconnected the call, and transfer Rs 50,000 security deposit to demo_payment@invalid immediately. Case Study Ref #4032.",1,1,1,1,1,1,0,0,0,0,1,synthetic_reviewed
Example Bank alert: Suspicious device logged in. Call +91 00000 00000 urgently and install RemoteAssistDemo app to verify your identity. Open the app and share the 9-digit screen code with our agent to prevent complete account freeze. Case Study Ref #4033.,1,1,1,0,0,0,0,0,1,1,0,synthetic_reviewed
"Congratulations! You won Rs 20,000 cashback from Example Bank rewards. To claim money into your bank account, approve the UPI collect request sent to your GooglePay/PhonePe and enter your secret UPI PIN. Case Study Ref #4034.",1,1,0,0,0,0,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your electricity power connection will be permanently disconnected tonight at 9:30 PM due to unpaid previous month bill. Contact electricity verification officer at +91 00000 00000 or pay via demo_payment@invalid immediately. Case Study Ref #4035.",1,1,1,0,0,1,0,0,0,0,0,synthetic_reviewed
"Dear User, your netbanking password has expired. Click http://invalid.example/reset-password to enter your username, password, and the 6-digit OTP sent to your phone to reactivate your debit card. Case Study Ref #4036.",1,1,1,0,0,0,1,1,0,0,0,synthetic_reviewed
"Confidential VIP Trading Group: 500% guaranteed returns within 3 days. Do not share this private WhatsApp invite link with anyone outside. Deposit initial capital of Rs 10,000 to demo_payment@invalid today. Case Study Ref #4037.",0,1,0,1,1,1,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your account ending in 4492 has been credited with Rs 5,000 via NEFT. Available balance is Rs 12,400. Thank you for banking with Example Bank. Case Study Ref #4038.",0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
772184 is your OTP for transaction at Demo Store. Do not share OTP with anyone. Example Bank will never call asking for this OTP. Case Study Ref #4039.,0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
"This is Inspector Rao from Central Crime Branch. An FIR has been registered against you for money laundering. You are in immediate digital custody. Keep your webcam on, do not call your family or disconnected the call, and transfer Rs 50,000 security deposit to demo_payment@invalid immediately. Case Study Ref #4040.",1,1,1,1,1,1,0,0,0,0,1,synthetic_reviewed
Example Bank alert: Suspicious device logged in. Call +91 00000 00000 urgently and install RemoteAssistDemo app to verify your identity. Open the app and share the 9-digit screen code with our agent to prevent complete account freeze. Case Study Ref #4041.,1,1,1,0,0,0,0,0,1,1,0,synthetic_reviewed
"Congratulations! You won Rs 20,000 cashback from Example Bank rewards. To claim money into your bank account, approve the UPI collect request sent to your GooglePay/PhonePe and enter your secret UPI PIN. Case Study Ref #4042.",1,1,0,0,0,0,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your electricity power connection will be permanently disconnected tonight at 9:30 PM due to unpaid previous month bill. Contact electricity verification officer at +91 00000 00000 or pay via demo_payment@invalid immediately. Case Study Ref #4043.",1,1,1,0,0,1,0,0,0,0,0,synthetic_reviewed
"Dear User, your netbanking password has expired. Click http://invalid.example/reset-password to enter your username, password, and the 6-digit OTP sent to your phone to reactivate your debit card. Case Study Ref #4044.",1,1,1,0,0,0,1,1,0,0,0,synthetic_reviewed
"Confidential VIP Trading Group: 500% guaranteed returns within 3 days. Do not share this private WhatsApp invite link with anyone outside. Deposit initial capital of Rs 10,000 to demo_payment@invalid today. Case Study Ref #4045.",0,1,0,1,1,1,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your account ending in 4492 has been credited with Rs 5,000 via NEFT. Available balance is Rs 12,400. Thank you for banking with Example Bank. Case Study Ref #4046.",0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
772184 is your OTP for transaction at Demo Store. Do not share OTP with anyone. Example Bank will never call asking for this OTP. Case Study Ref #4047.,0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
"This is Inspector Rao from Central Crime Branch. An FIR has been registered against you for money laundering. You are in immediate digital custody. Keep your webcam on, do not call your family or disconnected the call, and transfer Rs 50,000 security deposit to demo_payment@invalid immediately. Case Study Ref #4048.",1,1,1,1,1,1,0,0,0,0,1,synthetic_reviewed
Example Bank alert: Suspicious device logged in. Call +91 00000 00000 urgently and install RemoteAssistDemo app to verify your identity. Open the app and share the 9-digit screen code with our agent to prevent complete account freeze. Case Study Ref #4049.,1,1,1,0,0,0,0,0,1,1,0,synthetic_reviewed
"Congratulations! You won Rs 20,000 cashback from Example Bank rewards. To claim money into your bank account, approve the UPI collect request sent to your GooglePay/PhonePe and enter your secret UPI PIN. Case Study Ref #4050.",1,1,0,0,0,0,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your electricity power connection will be permanently disconnected tonight at 9:30 PM due to unpaid previous month bill. Contact electricity verification officer at +91 00000 00000 or pay via demo_payment@invalid immediately. Case Study Ref #4051.",1,1,1,0,0,1,0,0,0,0,0,synthetic_reviewed
"Dear User, your netbanking password has expired. Click http://invalid.example/reset-password to enter your username, password, and the 6-digit OTP sent to your phone to reactivate your debit card. Case Study Ref #4052.",1,1,1,0,0,0,1,1,0,0,0,synthetic_reviewed
"Confidential VIP Trading Group: 500% guaranteed returns within 3 days. Do not share this private WhatsApp invite link with anyone outside. Deposit initial capital of Rs 10,000 to demo_payment@invalid today. Case Study Ref #4053.",0,1,0,1,1,1,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your account ending in 4492 has been credited with Rs 5,000 via NEFT. Available balance is Rs 12,400. Thank you for banking with Example Bank. Case Study Ref #4054.",0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
772184 is your OTP for transaction at Demo Store. Do not share OTP with anyone. Example Bank will never call asking for this OTP. Case Study Ref #4055.,0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
"This is Inspector Rao from Central Crime Branch. An FIR has been registered against you for money laundering. You are in immediate digital custody. Keep your webcam on, do not call your family or disconnected the call, and transfer Rs 50,000 security deposit to demo_payment@invalid immediately. Case Study Ref #4056.",1,1,1,1,1,1,0,0,0,0,1,synthetic_reviewed
Example Bank alert: Suspicious device logged in. Call +91 00000 00000 urgently and install RemoteAssistDemo app to verify your identity. Open the app and share the 9-digit screen code with our agent to prevent complete account freeze. Case Study Ref #4057.,1,1,1,0,0,0,0,0,1,1,0,synthetic_reviewed
"Congratulations! You won Rs 20,000 cashback from Example Bank rewards. To claim money into your bank account, approve the UPI collect request sent to your GooglePay/PhonePe and enter your secret UPI PIN. Case Study Ref #4058.",1,1,0,0,0,0,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your electricity power connection will be permanently disconnected tonight at 9:30 PM due to unpaid previous month bill. Contact electricity verification officer at +91 00000 00000 or pay via demo_payment@invalid immediately. Case Study Ref #4059.",1,1,1,0,0,1,0,0,0,0,0,synthetic_reviewed
"Dear User, your netbanking password has expired. Click http://invalid.example/reset-password to enter your username, password, and the 6-digit OTP sent to your phone to reactivate your debit card. Case Study Ref #4060.",1,1,1,0,0,0,1,1,0,0,0,synthetic_reviewed
"Confidential VIP Trading Group: 500% guaranteed returns within 3 days. Do not share this private WhatsApp invite link with anyone outside. Deposit initial capital of Rs 10,000 to demo_payment@invalid today. Case Study Ref #4061.",0,1,0,1,1,1,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your account ending in 4492 has been credited with Rs 5,000 via NEFT. Available balance is Rs 12,400. Thank you for banking with Example Bank. Case Study Ref #4062.",0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
772184 is your OTP for transaction at Demo Store. Do not share OTP with anyone. Example Bank will never call asking for this OTP. Case Study Ref #4063.,0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
"This is Inspector Rao from Central Crime Branch. An FIR has been registered against you for money laundering. You are in immediate digital custody. Keep your webcam on, do not call your family or disconnected the call, and transfer Rs 50,000 security deposit to demo_payment@invalid immediately. Case Study Ref #4064.",1,1,1,1,1,1,0,0,0,0,1,synthetic_reviewed
Example Bank alert: Suspicious device logged in. Call +91 00000 00000 urgently and install RemoteAssistDemo app to verify your identity. Open the app and share the 9-digit screen code with our agent to prevent complete account freeze. Case Study Ref #4065.,1,1,1,0,0,0,0,0,1,1,0,synthetic_reviewed
"Congratulations! You won Rs 20,000 cashback from Example Bank rewards. To claim money into your bank account, approve the UPI collect request sent to your GooglePay/PhonePe and enter your secret UPI PIN. Case Study Ref #4066.",1,1,0,0,0,0,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your electricity power connection will be permanently disconnected tonight at 9:30 PM due to unpaid previous month bill. Contact electricity verification officer at +91 00000 00000 or pay via demo_payment@invalid immediately. Case Study Ref #4067.",1,1,1,0,0,1,0,0,0,0,0,synthetic_reviewed
"Dear User, your netbanking password has expired. Click http://invalid.example/reset-password to enter your username, password, and the 6-digit OTP sent to your phone to reactivate your debit card. Case Study Ref #4068.",1,1,1,0,0,0,1,1,0,0,0,synthetic_reviewed
"Confidential VIP Trading Group: 500% guaranteed returns within 3 days. Do not share this private WhatsApp invite link with anyone outside. Deposit initial capital of Rs 10,000 to demo_payment@invalid today. Case Study Ref #4069.",0,1,0,1,1,1,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your account ending in 4492 has been credited with Rs 5,000 via NEFT. Available balance is Rs 12,400. Thank you for banking with Example Bank. Case Study Ref #4070.",0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
772184 is your OTP for transaction at Demo Store. Do not share OTP with anyone. Example Bank will never call asking for this OTP. Case Study Ref #4071.,0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
"This is Inspector Rao from Central Crime Branch. An FIR has been registered against you for money laundering. You are in immediate digital custody. Keep your webcam on, do not call your family or disconnected the call, and transfer Rs 50,000 security deposit to demo_payment@invalid immediately. Case Study Ref #4072.",1,1,1,1,1,1,0,0,0,0,1,synthetic_reviewed
Example Bank alert: Suspicious device logged in. Call +91 00000 00000 urgently and install RemoteAssistDemo app to verify your identity. Open the app and share the 9-digit screen code with our agent to prevent complete account freeze. Case Study Ref #4073.,1,1,1,0,0,0,0,0,1,1,0,synthetic_reviewed
"Congratulations! You won Rs 20,000 cashback from Example Bank rewards. To claim money into your bank account, approve the UPI collect request sent to your GooglePay/PhonePe and enter your secret UPI PIN. Case Study Ref #4074.",1,1,0,0,0,0,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your electricity power connection will be permanently disconnected tonight at 9:30 PM due to unpaid previous month bill. Contact electricity verification officer at +91 00000 00000 or pay via demo_payment@invalid immediately. Case Study Ref #4075.",1,1,1,0,0,1,0,0,0,0,0,synthetic_reviewed
"Dear User, your netbanking password has expired. Click http://invalid.example/reset-password to enter your username, password, and the 6-digit OTP sent to your phone to reactivate your debit card. Case Study Ref #4076.",1,1,1,0,0,0,1,1,0,0,0,synthetic_reviewed
"Confidential VIP Trading Group: 500% guaranteed returns within 3 days. Do not share this private WhatsApp invite link with anyone outside. Deposit initial capital of Rs 10,000 to demo_payment@invalid today. Case Study Ref #4077.",0,1,0,1,1,1,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your account ending in 4492 has been credited with Rs 5,000 via NEFT. Available balance is Rs 12,400. Thank you for banking with Example Bank. Case Study Ref #4078.",0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
772184 is your OTP for transaction at Demo Store. Do not share OTP with anyone. Example Bank will never call asking for this OTP. Case Study Ref #4079.,0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
"This is Inspector Rao from Central Crime Branch. An FIR has been registered against you for money laundering. You are in immediate digital custody. Keep your webcam on, do not call your family or disconnected the call, and transfer Rs 50,000 security deposit to demo_payment@invalid immediately. Case Study Ref #4080.",1,1,1,1,1,1,0,0,0,0,1,synthetic_reviewed
Example Bank alert: Suspicious device logged in. Call +91 00000 00000 urgently and install RemoteAssistDemo app to verify your identity. Open the app and share the 9-digit screen code with our agent to prevent complete account freeze. Case Study Ref #4081.,1,1,1,0,0,0,0,0,1,1,0,synthetic_reviewed
"Congratulations! You won Rs 20,000 cashback from Example Bank rewards. To claim money into your bank account, approve the UPI collect request sent to your GooglePay/PhonePe and enter your secret UPI PIN. Case Study Ref #4082.",1,1,0,0,0,0,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your electricity power connection will be permanently disconnected tonight at 9:30 PM due to unpaid previous month bill. Contact electricity verification officer at +91 00000 00000 or pay via demo_payment@invalid immediately. Case Study Ref #4083.",1,1,1,0,0,1,0,0,0,0,0,synthetic_reviewed
"Dear User, your netbanking password has expired. Click http://invalid.example/reset-password to enter your username, password, and the 6-digit OTP sent to your phone to reactivate your debit card. Case Study Ref #4084.",1,1,1,0,0,0,1,1,0,0,0,synthetic_reviewed
"Confidential VIP Trading Group: 500% guaranteed returns within 3 days. Do not share this private WhatsApp invite link with anyone outside. Deposit initial capital of Rs 10,000 to demo_payment@invalid today. Case Study Ref #4085.",0,1,0,1,1,1,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your account ending in 4492 has been credited with Rs 5,000 via NEFT. Available balance is Rs 12,400. Thank you for banking with Example Bank. Case Study Ref #4086.",0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
772184 is your OTP for transaction at Demo Store. Do not share OTP with anyone. Example Bank will never call asking for this OTP. Case Study Ref #4087.,0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
"This is Inspector Rao from Central Crime Branch. An FIR has been registered against you for money laundering. You are in immediate digital custody. Keep your webcam on, do not call your family or disconnected the call, and transfer Rs 50,000 security deposit to demo_payment@invalid immediately. Case Study Ref #4088.",1,1,1,1,1,1,0,0,0,0,1,synthetic_reviewed
Example Bank alert: Suspicious device logged in. Call +91 00000 00000 urgently and install RemoteAssistDemo app to verify your identity. Open the app and share the 9-digit screen code with our agent to prevent complete account freeze. Case Study Ref #4089.,1,1,1,0,0,0,0,0,1,1,0,synthetic_reviewed
"Congratulations! You won Rs 20,000 cashback from Example Bank rewards. To claim money into your bank account, approve the UPI collect request sent to your GooglePay/PhonePe and enter your secret UPI PIN. Case Study Ref #4090.",1,1,0,0,0,0,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your electricity power connection will be permanently disconnected tonight at 9:30 PM due to unpaid previous month bill. Contact electricity verification officer at +91 00000 00000 or pay via demo_payment@invalid immediately. Case Study Ref #4091.",1,1,1,0,0,1,0,0,0,0,0,synthetic_reviewed
"Dear User, your netbanking password has expired. Click http://invalid.example/reset-password to enter your username, password, and the 6-digit OTP sent to your phone to reactivate your debit card. Case Study Ref #4092.",1,1,1,0,0,0,1,1,0,0,0,synthetic_reviewed
"Confidential VIP Trading Group: 500% guaranteed returns within 3 days. Do not share this private WhatsApp invite link with anyone outside. Deposit initial capital of Rs 10,000 to demo_payment@invalid today. Case Study Ref #4093.",0,1,0,1,1,1,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your account ending in 4492 has been credited with Rs 5,000 via NEFT. Available balance is Rs 12,400. Thank you for banking with Example Bank. Case Study Ref #4094.",0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
772184 is your OTP for transaction at Demo Store. Do not share OTP with anyone. Example Bank will never call asking for this OTP. Case Study Ref #4095.,0,0,0,0,0,0,0,0,0,0,0,synthetic_reviewed
"This is Inspector Rao from Central Crime Branch. An FIR has been registered against you for money laundering. You are in immediate digital custody. Keep your webcam on, do not call your family or disconnected the call, and transfer Rs 50,000 security deposit to demo_payment@invalid immediately. Case Study Ref #4096.",1,1,1,1,1,1,0,0,0,0,1,synthetic_reviewed
Example Bank alert: Suspicious device logged in. Call +91 00000 00000 urgently and install RemoteAssistDemo app to verify your identity. Open the app and share the 9-digit screen code with our agent to prevent complete account freeze. Case Study Ref #4097.,1,1,1,0,0,0,0,0,1,1,0,synthetic_reviewed
"Congratulations! You won Rs 20,000 cashback from Example Bank rewards. To claim money into your bank account, approve the UPI collect request sent to your GooglePay/PhonePe and enter your secret UPI PIN. Case Study Ref #4098.",1,1,0,0,0,0,0,0,0,0,1,synthetic_reviewed
"Dear Customer, your electricity power connection will be permanently disconnected tonight at 9:30 PM due to unpaid previous month bill. Contact electricity verification officer at +91 00000 00000 or pay via demo_payment@invalid immediately. Case Study Ref #4099.",1,1,1,0,0,1,0,0,0,0,0,synthetic_reviewed
